id,date,time,latitude,longitude
C30011,10-03-2014,04:08:02,-22.936874,-43.351212
C30011,10-03-2014,04:08:42,-22.938667,-43.3493
C30011,10-03-2014,04:10:12,-22.940435,-43.343697
C30011,10-03-2014,04:11:12,-22.944958,-43.346466
C30011,10-03-2014,04:13:12,-22.952669,-43.352745
C30011,10-03-2014,04:14:12,-22.953432,-43.355946
C30011,10-03-2014,04:15:12,-22.957483,-43.357082
C30011,10-03-2014,04:17:13,-22.963659,-43.357361
C30011,10-03-2014,04:18:12,-22.96537,-43.357273
C30011,10-03-2014,04:19:12,-22.972614,-43.362919
C30011,10-03-2014,04:20:12,-22.980782,-43.366009
C30011,10-03-2014,04:21:12,-22.990391,-43.366146
C30011,10-03-2014,04:23:12,-23.001999,-43.364643
C30011,10-03-2014,04:25:12,-23.001226,-43.365364
C30011,10-03-2014,04:26:12,-23.001226,-43.365364
C30011,10-03-2014,04:27:12,-23.001226,-43.365364
C30011,10-03-2014,04:28:12,-23.001213,-43.366352
C30011,10-03-2014,04:29:13,-23.001488,-43.367985
C30011,10-03-2014,04:30:12,-22.999819,-43.362877
C30011,10-03-2014,04:31:12,-22.992247,-43.365501
C30011,10-03-2014,04:31:42,-22.98772,-43.365414
C30011,10-03-2014,04:33:12,-22.978092,-43.364681
C30011,10-03-2014,04:35:12,-22.964251,-43.356945
C30011,10-03-2014,04:36:13,-22.961361,-43.357159
C30011,10-03-2014,04:36:43,-22.959276,-43.357273
C30011,10-03-2014,04:38:13,-22.952925,-43.354584
C30011,10-03-2014,04:39:13,-22.952642,-43.351757
C30011,10-03-2014,04:40:12,-22.951601,-43.349537
C30011,10-03-2014,04:42:13,-22.944393,-43.346222
C30011,10-03-2014,04:42:43,-22.941341,-43.344254
C30011,10-03-2014,04:43:43,-22.938524,-43.346756
C30011,10-03-2014,04:45:13,-22.936222,-43.351768
C30011,10-03-2014,04:46:13,-22.930941,-43.353443
C30011,10-03-2014,04:47:12,-22.926756,-43.355942
C30011,10-03-2014,04:49:12,-22.922405,-43.360683
C30011,10-03-2014,04:50:12,-22.918379,-43.360859
C30011,10-03-2014,04:51:12,-22.915335,-43.361023
C30011,10-03-2014,04:52:12,-22.915819,-43.361374
C30011,10-03-2014,04:53:13,-22.915819,-43.361374
C30011,10-03-2014,04:54:13,-22.915819,-43.361374
C30011,10-03-2014,04:55:13,-22.915819,-43.361374
C30011,10-03-2014,04:56:13,-22.916025,-43.361404
C30011,10-03-2014,04:56:43,-22.916025,-43.361404
C30011,10-03-2014,04:58:13,-22.916025,-43.361404
C30011,10-03-2014,04:59:13,-22.916025,-43.361404
C30011,10-03-2014,05:00:13,-22.916025,-43.361404
